epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc
1,0.6558908627583431,0.6013583421707154,0.6548223350253807,0.694,0.871859296482412,0.7728285077951,0.637644179446455
2,0.5904852624122913,0.5918349385261535,0.6683587140439933,0.7052845528455285,0.871859296482412,0.7797752808988765,0.6552972114458302
3,0.5780430454474229,0.5963153272867203,0.6649746192893401,0.7092050209205021,0.8517587939698492,0.773972602739726,0.6578748665607831
4,0.5591294623338259,0.5843142956495285,0.6649746192893401,0.7057613168724279,0.8618090452261307,0.7760180995475112,0.6774285937459318
5,0.5563406068545121,0.590518268942833,0.6683587140439933,0.7112970711297071,0.8542713567839196,0.7762557077625571,0.6700731637461921
6,0.5420150926479926,0.5970718324184418,0.6632825719120136,0.7167755991285403,0.8266331658291457,0.7677946324387398,0.6705288098523707
7,0.5375027555685777,0.6010107457637787,0.6615905245346869,0.7180616740088106,0.8190954773869347,0.7652582159624413,0.6687973546488921
8,0.5291730628563808,0.6126715481281281,0.6548223350253807,0.7194570135746606,0.7989949748743719,0.7571428571428571,0.6635118598172209
9,0.5189400732517242,0.6152229458093643,0.6615905245346869,0.7152173913043478,0.8266331658291457,0.7668997668997669,0.6664930871976462
10,0.5152686036550082,0.6235960572957993,0.6649746192893401,0.7242152466367713,0.8115577889447236,0.7654028436018957,0.6638112844012811
11,0.5057714943702404,0.6172624796628952,0.6514382402707276,0.7181818181818181,0.7939698492462312,0.7541766109785203,0.6677819147551227
12,0.4971335993363307,0.627477303147316,0.6632825719120136,0.7167755991285403,0.8266331658291457,0.7677946324387398,0.6627177337464525
13,0.5025130436970637,0.6272932380437851,0.6548223350253807,0.7235023041474654,0.7889447236180904,0.7548076923076923,0.6643580597286953
14,0.48281479065234845,0.6306649506092071,0.6514382402707276,0.711453744493392,0.8115577889447236,0.7582159624413145,0.6634597859765148
