2025-03-04 21:49:36,808 - ufc_model - WARNING - NaN loss detected in batch 60, skipping
2025-03-04 21:49:36,809 - ufc_model - WARNING - NaN loss detected in batch 61, skipping
2025-03-04 21:49:36,810 - ufc_model - WARNING - NaN loss detected in batch 62, skipping
2025-03-04 21:49:36,810 - ufc_model - WARNING - NaN loss detected in batch 63, skipping
2025-03-04 21:49:36,811 - ufc_model - WARNING - NaN loss detected in batch 64, skipping
2025-03-04 21:49:36,812 - ufc_model - WARNING - NaN loss detected in batch 65, skipping
2025-03-04 21:49:36,812 - ufc_model - WARNING - NaN loss detected in batch 66, skipping
2025-03-04 21:49:36,813 - ufc_model - WARNING - NaN loss detected in batch 67, skipping
2025-03-04 21:49:36,813 - ufc_model - WARNING - NaN loss detected in batch 68, skipping
2025-03-04 21:49:36,814 - ufc_model - WARNING - NaN loss detected in batch 69, skipping
2025-03-04 21:49:36,815 - ufc_model - WARNING - NaN loss detected in batch 70, skipping
2025-03-04 21:49:36,815 - ufc_model - WARNING - NaN loss detected in batch 71, skipping
2025-03-04 21:49:36,815 - ufc_model - WARNING - NaN loss detected in batch 72, skipping
2025-03-04 21:49:36,817 - ufc_model - WARNING - NaN loss detected in batch 73, skipping
2025-03-04 21:49:36,818 - ufc_model - WARNING - NaN loss detected in batch 74, skipping
2025-03-04 21:49:36,818 - ufc_model - WARNING - NaN loss detected in batch 75, skipping
2025-03-04 21:49:36,819 - ufc_model - WARNING - NaN loss detected in batch 76, skipping
2025-03-04 21:49:36,819 - ufc_model - WARNING - NaN loss detected in batch 77, skipping
2025-03-04 21:49:36,820 - ufc_model - WARNING - NaN loss detected in batch 78, skipping
2025-03-04 21:49:36,820 - ufc_model - WARNING - NaN loss detected in batch 79, skipping
2025-03-04 21:49:36,821 - ufc_model - WARNING - NaN loss detected in batch 80, skipping
2025-03-04 21:49:36,821 - ufc_model - WARNING - NaN loss detected in batch 81, skipping
2025-03-04 21:49:36,822 - ufc_model - WARNING - NaN loss detected in batch 82, skipping
2025-03-04 21:49:36,822 - ufc_model - WARNING - NaN loss detected in batch 83, skipping
2025-03-04 21:49:36,823 - ufc_model - WARNING - NaN loss detected in batch 84, skipping
2025-03-04 21:49:36,823 - ufc_model - WARNING - NaN loss detected in batch 85, skipping
2025-03-04 21:49:36,824 - ufc_model - WARNING - NaN loss detected in batch 86, skipping
